col1,col2
"Section 2 describes Wikipedia, with an emphasis on the features that are most important to the entity disambiguation task.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
Section 3 describes the extraction of named entity entries (versus other types of entries) fromWikipedia.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Section 4 introduces two disambigua tion methods, which are evaluated experimentally in Section 5.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
We conclude with future work and conclusions.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
2 Wikipedia ? A Wiki Encyclopedia.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Wikipedia is a free online encyclopedia writtencollaboratively by volunteers, using a wiki soft ware that allows almost anyone to add and change articles.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
It is a multilingual resource - there are about 200 language editions with varying levels of coverage.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
Wikipedia is a very dynamic andquickly growing resource ? articles about news worthy events are often added within days of their occurrence.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"As an example, the September 2005 version contains 751,666 articles, around 180,000 more articles than four months earlier.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"The work in this paper is based on the English version from May 2005, which contains 577,860 articles.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Each article in Wikipedia is uniquely identified by its title ? a sequence of words separated byunderscores, with the first word always capital ized.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Typically, the title is the most common name for the entity described in the article.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"When the name is ambiguous, it is further qualified with aparenthetical expression.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For instance, the arti cle on John Williams the composer has the title John Williams (composer).Because each article describes a specific entity or concept, the remainder of the paper sometimes uses the term ?entity?","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
interchangeably to re fer to both the article and the corresponding entity.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Also, let E denote the entire set of entities from Wikipedia.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For any entity e2E, e:title is the title name of the corresponding article, and e:T is the text of the article.In general, there is a many-to-many correspon dence between names and entities.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"This relationis captured in Wikipedia through redirect and dis ambiguation pages, as described in the next two sections.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
2.1 Redirect Pages.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
A redirect page exists for each alternative name that can be used to refer to an entity in Wikipedia.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
The name is transformed (using underscores for spaces) into a title whose article contains aredirect link to the actual article for that en tity.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For example, John Towner Williams is the full name of the composer John Williams.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Itis therefore an alternative name for the composer, and consequently the article with the ti tle John Towner Williams is just a pointer to thearticle for John Williams (composer).","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
An exam ple entry with a considerably higher number of redirect pages is United States.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Its redirect pages correspond to acronyms (U.S.A., U.S., USA, US),Spanish translations (Los Estados Unidos, Estados Unidos), misspellings (Untied States) or syn onyms (Yankee land).","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For any given Wikipedia entity e2E, let e:R be the set of all names that redirect to e. 2.2 Disambiguation Pages.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Another useful structure is that of disambiguation pages, which are created for ambiguous names, i.e. names that denote two or more entities in Wikipedia.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For example, the disambiguation page for the name John Williams lists 22 associated 10 TITLE REDIRECT DISAMBIG CATEGORIES Star Wars music, ...","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"John Williams (composer) John Towner Williams John Williams Film score composers, 20th century classical composers John Williams (wrestler) Ian Rotten John Williams Professional wrestlers, People living in Baltimore John Williams (VC) none John Williams British Army soldiers, British Victoria Cross recipients Boston Pops Orchestra Boston Pops, Pops American orchestras, The Boston Pops Orchestra Massachusetts musicians United States US, USA, ...","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"US, USA, North American countries, United States of America United States Republics, United States Venus, Venus Venus (planet) Planet Venus Morning Star, Planets of the Solar System, Evening Star Planets, Solar System, ...","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Table 1: Examples of Wikipedia titles, aliases and categories entities.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Therefore, besides the non-ambiguous names that come from redirect pages, additionalaliases can be found by looking for all disambiguation pages that list a particular Wikipedia en tity.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
In his philosophical article ?On Sense and Reference?,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"(Frege, 1999), Gottlob Frege gave a famous argument to show that sense and reference are distinct.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"In his example, the planet Venus may be referred to using the phrases ?morning star?","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
and ?evening star?.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"This theoretical example is nicelycaptured in practice in Wikipedia by two disam biguation pages, Morning Star and Evening Star, both listing Venus as a potential referent.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For any given Wikipedia entity e 2 E, let e:D be the set of names whose disambiguation pages contain a link to e. 2.3 Categories.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
Every article in Wikipedia is required to have at least one category.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"As shown in Table 1, John Williams (composer) is associated with a set of categories, among them Star Wars music, Filmscore composers, and 20th century classical com posers.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
Categories allow articles to be placed into one or more topics.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
These topics can be further categorized by associating them with one or more parent categories.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
In Table 1 Venus is shown asboth an article title and a category.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"As a cate gory, it has one direct parent Planets of the SolarSystem, which in turn belongs to two more gen eral categories, Planets and Solar System.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"Thus, categories form a directed acyclic graph, allowingmultiple categorization schemes to co-exist simul taneously.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"There are in total 59,759 categories in Wikipedia.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"For a given Wikipedia entity e 2E, let e:C be the set of categories to which e belongs (i.e. e?s immediate categories and all their ancestors in the Wikipedia taxonomy).","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
2.4 Hyperlinks.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
Articles in Wikipedia often contain mentions ofentities that already have a corresponding article.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"When contributing authors mention an ex isting Wikipedia entity inside an article, they arerequired to link at least its first mention to the cor responding article, by using links or piped links.Both types of links are exemplified in the follow ing wiki source code of a sentence from the article on Italy: ?The [[Vatican City|Vatican]] is now an independent enclave surrounded by [[Rome]]?.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
The string from the second link (?Rome?),"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
denotes the title of the referenced article.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
The same string is also used in the display version.,"{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"If the authorwants another string displayed (e.g., ?Vatican?","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"in stead of ?Vatican City?), then the alternative string is included in a piped link, after the title string.Consequently, the display string for the aforementioned example is: ?The Vatican is now an independent enclave surrounded by Rome?.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"As described later in Section 4, the hyperlinks can pro vide useful training examples for a named entity disambiguator.","{'title': 'Disambiguates between multiple named enti-. ', 'number': '2'}"
"We organize all named entities from Wikipedia into a dictionary structure D, where each string entry d 2 D is mapped to the set of entities d:E that can be denoted by d in Wikipedia.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"The first step is to identify named entities, i.e. entities with a proper name title.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"Because every title inWikipedia must begin with a capital letter, the de cision whether a title is a proper name relies on the following sequence of heuristic steps: 11 1.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"If e:title is a multiword title, check the cap-.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"italization of all content words, i.e. wordsother than prepositions, determiners, con junctions, relative pronouns or negations.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
Consider e a named entity if and only if all content words are capitalized.,"{'title': 'A Dictionary of Named Entities', 'number': '3'}"
2.,"{'title': 'A Dictionary of Named Entities', 'number': '3'}"
If e:title is a one word title that contains at.,"{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"least two capital letters, then e is a named en tity.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"Otherwise, go to step 3.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
3. Count how many times e:title occurs in the.,"{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"text of the article, in positions other than at the beginning of sentences.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"If at least 75% of these occurrences are capitalized, then e is a named entity.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
The combined heuristics extract close to half amillion named entities from Wikipedia.,"{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"The second step constructs the actual dictionary D as fol lows:  The set of entries in D consists of all strings that may denote a named entity, i.e. if e2E is a named entity, then its title name e:title,its redirect names e:R, and its disambigua tion names e:D are all added as entries in D.  Each entry string d2D is mapped to d:E, the set of entities that d may denote in Wikipedia.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"Consequently, a named entity e is included in d:E if and only if d = e:title, d 2 e:R, or d2e:D.","{'title': 'A Dictionary of Named Entities', 'number': '3'}"
"As illustrated in Section 1, the same proper name may refer to more than one named entity.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Thenamed entity dictionary from Section 3 and the hy perlinks from Wikipedia articles provide a dataset of disambiguated occurrences of proper names,as described in the following.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"As shown in Section 2.4, each link contains the title name of an en tity, and the proper name (the display string) used to refer to it.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
We use the term query to denote the occurrence of a proper name inside a Wikipedia article.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"If there is a dictionary entry matching the proper name in the query q such that the set of denoted entities q:E contains at least two entities, one of them the true answer entity q:e, then the query q is included in the dataset.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"More exactly, if q:E contains n named entities e 1 , e 2 , ..., e n , then the dataset will be augmented with n pairs hq; e k i represented as follows: hq; e k i = [?(e k ; q:e) j q:T j e k :title] The field q:T contains all words occurring in a limit length window centered on the proper name.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"The window size is set to 55, which is the value that was observed to give optimum performance in the related task of cross-document coreference (Gooi and Allan, 2004).","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
The Kronecker delta function ?(e k ; q:e) is 1 when e k is the same as the entity q:e referred in the link.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Table 2 lists the query pairs created for the three John Williamsqueries from Section 1.1, assuming only three en tities in Wikipedia correspond to this name.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
Query Text Entity Title 1 Boston Pops conduct ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (composer).,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
0 Boston Pops conduct ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (wrestler).,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
0 Boston Pops conduct ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (VC).,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
1 lost Taipei match ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (wrestler) 0 lost Taipei match ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (composer) 0 lost Taipei match ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (VC) 1 won Victoria Cross ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (VC) 0 won Victoria Cross ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (composer) 0 won Victoria Cross ...,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (wrestler) Table 2: Disambiguation dataset.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"The application of this procedure on Wikipedia results into a dataset of 1,783,868 disambiguated queries.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
4.1 Context-Article Similarity.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Using the representation from the previous sec tion, the name entity disambiguation problem can be cast as a ranking problem.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Assuming that an appropriate scoring function score(q; e k) is avail able, the named entity corresponding to query q is defined to be the one with the highest score: e^ = argmax e k score(q; e k ) (1) If e^ = q:e then e^ represents a hit, otherwise e^ is a miss. Disambiguation methods will then differ based on the way they define the scoring function.One ranking function that is evaluated experimen tally in this paper is based on the cosine similarity between the context of the query and the text of the article: score(q; e k ) = cos(q:T; e k :T ) = q:T kq:Tk e k :T ke k :Tk The factors q:T and e k :T are represented in thestandard vector space model, where each compo nent corresponds to a term in the vocabulary, and the term weight is the standard tf  idf score(Baeza-Yates and Ribeiro-Neto, 1999).","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"The vo cabulary V is created by reading all Wikipedia 12 articles and recording, for each word stem w, itsdocument frequency df(w) in Wikipedia.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
Stop words and words that are too frequent or too rareare discarded.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"A generic document d is then repre sented as a vector of length jV j, with a position for each vocabulary word.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"If f(w) is the frequency ofword w in document d, and N is the total num ber of Wikipedia articles, then the weight of word w2V in the tf  idf representation of d is: d w = f(w) ln N df(w) (2) 4.2 Taxonomy Kernel.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"An error analysis of the cosine-based ranking method reveals that, in many cases, the pair hq; ei fails to rank first, even though words from thequery context unambiguously indicate e as the ac tual denoted entity.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"In these cases, cue words from the context do not appear in e?s article due to two main reasons: 1.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
The article may be too short or incomplete..,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
2.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
Even though the article captures most of the.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"relevant concepts expressed in the query con text, it does this by employing synonymous words or phrases.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
The cosine similarity between q and e k can be seen as an expression of the total degree of correlation between words from the context of query q and a given named entity e k . When the correlation is too.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"low because the Wikipedia article for named entity e k does not contain all words that are relevant to e k , it is worth considering the correlation between context words and the categories to which e kbe longs.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"For illustration, consider the two queries for the name John Williams from Figure 1.To avoid clutter, Figure 1 depicts only two enti ties with the name John Williams in Wikipedia: the composer and the wrestler.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"On top of each entity, the figure shows one of their Wikipedia categories (Film score composers and Professional wrestlersrespectively), together with some of their ances tor categories in the Wikipedia taxonomy.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
The two query contexts are shown at the bottom of the figure.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"In the context on the left, words such as conducted and concert denote concepts that are highly correlated with the Musicians, Composers and Film score composers categories.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"On the other hand, their correlation with other categories in Figure 1 is considerably lower.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Consequently, a Musicians Composers Film score composers People by occupation People People known in connection with sports and hobbies Wrestlers Professional wrestlers high correlationshigh correlations ? ?","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
conducted a summer Star Wars John Williams John Williams a Taipei death lost concert match[...],"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
John Williams (composer) John Williams (wrestler) Figure 1: Word-Category correlations.,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"goal of this paper is to design a disambiguationmethod that 1) learns the magnitude of these correlations, and 2) uses these correlations in a scor ing function, together with the cosine similarity.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"Our intuition is that, given the query context on the left, such a ranking function has a better chance of ranking the ?composer?","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
entity higher than the ?wrestler?,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"entity, when compared with the simple cosine similarity baseline.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"We consider using a linear ranking function as follows: e^ = argmax e k w (q; e k ) (3) The feature vector (q; e k ) contains a dedicated feature  cos for cosine similarity, and jV j  jCj features  w;c corresponding to combinations of words w from the Wikipedia vocabulary V and categories c from the Wikipedia taxonomy C:  cos (q; e k ) = cos(q:T; e k :T ) (4)  w;c (q; e k ) =  1 if w2q:T and c2e k :C; 0 otherwise: The weight vector w models the magnitude of each word-category correlation, and can be learned by training on the query dataset described at the beginning of Section 4.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"We used the kernel version of the large-margin ranking approach from (Joachims, 2002) which solves the optimization 13 problem in Figure 2.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
"The aim of this formulation is to find a weight vector w such that 1) the number of ranking constraints w (q; q:e)  w (q; e k )from the training data that are violated is mini mized, and 2) the ranking function w (q; e k ) generalizes well beyond the training data.","{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
minimize: V (w; ) = 1 2 w,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
w+ C P  q;k subject to: w ((q; q:e) ,"{'title': 'Named Entity Disambiguation. ', 'number': '4'}"
